,Unnamed: 0,Id,Category,Tweet
17,18,637018128111693824,positive,"['see', 'news', 'through', 'the', 'eye', 'of', 'real', 'peopl', 'amp', 'be', 'your', 'own', 'report', 'with', 'fresco', 'for', 'io', 'come', 'septemberth']"
18,19,637085524683976704,positive,"['siri', 'know', 'all', 'about', 'appl', 'io', 'event', 'on', 'theth', 'giveusahint']"
19,20,637103428494188548,positive,"['who', 'readi', 'for', 'build', 'tomorrow', 'might', 'be', 'the', 'last', 'build', 'till', 'it', 'come', 'to', 'io']"
20,21,637176985479970817,positive,"['as', 'ive', 'been', 'on', 'fb', 'for', 'mani', 'year', 'i', 'have', 'a', 'few', 'hundr', 'photo', 'album', 'but', 'onli', 'thest', 'appear', 'in', 'the', 'io', 'app', 'is', 'that', 'right']"
21,22,637244817974657024,positive,"['tri', 'beat', 'mp', 'it', 'may', 'be', 'on', 'android', 'i', 'have', 'it', 'on', 'io', 'and', 'it', 'fairli', 'decent']"
22,23,637268613263720448,positive,"['even', 'though', 'there', 'are', 'other', 'differ', 'in', 'the', 'io', 'featur', 'thi', 'still', 'may', 'make', 'peopl', 'lean', 'a', 'littl', 'more', 'toward', 'appl']"
23,24,637333676099932160,neutral,"['huawei', 'watch', 'preorder', 'suggest', 'android', 'wear', 'come', 'to', 'io', 'iphon', 'owner', 'who', 'want', 'to', 'use', 'android', 'wear', 'may', 'soo']"
24,25,637423522130825216,neutral,"['speedenew', 'rumor', 'android', 'wear', 'will', 'soon', 'work', 'with', 'io', 'android', 'wear', 'may', 'be', 'veri', 'close', 'to', 'work', 'with', 'io', 'that']"
25,26,637515323059646464,neutral,"['over', 'here', 'in', 'nw', 'nearth', 'amp', 'rhode', 'island', 'if', 'you', 'need', 'a', 'lyft', 'let', 'me', 'know', 'download', 'the', 'lyft', 'app', 'for', 'io', 'or', 'android']"
26,27,637559397707874308,neutral,"['i', 'wish', 'that', 'customfoldericon', 'work', 'on', 'io', 'and', 'it', 'wa', 'receiv', 'on', 'decemberth']"
27,28,637567051490455552,neutral,"['so', 'today', 'i', 'check', 'my', 'old', 'ipodth', 'gen', 'which', 'is', 'on', 'io', 'and', 'it', 'cant', 'be', 'upgrad', 'further', 'and', 'i', 'randomli', 'open', 'twitter']"
28,29,637581604253224960,negative,"['pleas', 'stop', 'walk', 'and', 'work', 'you', 'have', 'more', 'than', 'one', 'month', 'of', 'late', 'the', 'updat', 'wa', 'annonc', 'the', 'of', 'juli', 'io', 'wait']"
29,30,637615314897928192,positive,"['hi', 'i', 'have', 'heard', 'that', 'they', 'said', 'mcpe', 'updat', 'will', 'come', 'today', 'august', 'to', 'io', 'but', 'i', 'cant', 'see', 'that', 'there', 'is', 'the', 'updat']"
30,31,637878764207214592,neutral,"['do', 'you', 'have', 'ani', 'news', 'of', 'an', 'updat', 'in', 'octob', 'for', 'io', 'and', 'android', 'user']"
31,32,637976948124160000,neutral,"['a', 'followon', 'guess', 'might', 'be', 'that', 'if', 'you', 'are', 'femal', 'with', 'an', 'io', 'devic', 'visit', 'the', 'site', 'you', 'may', 'have', 'more', 'dispos', 'incom']"
32,33,638206033639292932,positive,"['love', 'my', 'new', 'iphon', 'from', 'tmobil', 'im', 'in', 'love', 'with', 'io', 'cant', 'wait', 'for', 'the', 'septth', 'event']"
33,34,638380514252992512,neutral,"['all', 'android', 'wear', 'is', 'compar', 'with', 'io', 'now', 'i', 'believ', 'i', 'may', 'be', 'wrong', 'though']"
34,35,638407042512719873,neutral,"['googl', 'expand', 'android', 'wear', 'smartwatch', 'platform', 'to', 'io', 'googl', 'on', 'monday', 'roll', 'out', 'android', 'wear', 'smartwatch', 'harmoni', 'with']"
35,36,638427398694830080,negative,"['ye', 'i', 'ask', 'an', 'attend', 'to', 'print', 'out', 'a', 'paper', 'pass', 'but', 'thi', 'wa', 'not', 'thest', 'time', 'delta', 'io', 'app', 'lost', 'my', 'login', 'info', 'annoy']"
36,37,638429626419671040,positive,"['the', 'two', 'compani', 'announc', 'a', 'partnership', 'monday', 'aim', 'at', 'make', 'io', 'devic', 'and', 'app', 'more', 'compat', 'with', 'ff']"
37,38,638458599803502592,positive,"['zero', 'in', 'on', 'the', 'latest', 'in', 'a', 'short', 'video', 'make', 'iphon', 'amp', 'io', 'great', 'for', 'enterprisesst', 'amp', 'now']"
38,39,638459896296538116,neutral,"['to', 'all', 'nintendo', 'fan', 'out', 'there', 'i', 'may', 'sound', 'crazi', 'when', 'i', 'say', 'thi', 'but', 'kirbi', 'and', 'the', 'rainbow', 'curs', 'andor', 'kirbi', 'canva', 'curs', 'should', 'be', 'on', 'io']"
39,40,638551243653165056,neutral,"['appl', 'hasnt', 'ever', 'focus', 'on', 'game', 'but', 'ha', 'enjoy', 'incred', 'success', 'with', 'io', 'game', 'appl', 'tv', 'may', 'focu', 'on', 'game']"
40,41,638589551997513728,neutral,"['may', 'want', 'to', 'pick', 'your', 'brain', 'look', 'to', 'get', 'into', 'io', 'dev', 'myself']"
41,42,638614098482065410,positive,"['the', 'ork', 'are', 'here', 'to', 'tell', 'you', 'that', 'were', 'gun', 'for', 'a', 'septth', 'releas', 'of', 'herald', 'of', 'oblivion', 'on', 'io', 'and', 'android']"
42,43,638703996379746304,neutral,"['rd', 'parti', 'app', 'on', 'io', 'doe', 'it', 'add', 'a', 'keyboard', 'or', 'you', 'have', 'to', 'type', 'gt', 'copi', 'gt', 'past']"
43,44,638776033215447040,neutral,"['mt', 'webroot', 'have', 'a', 'jailbroken', 'io', 'devic', 'you', 'may', 'want', 'to', 'reconsid']"
44,45,638828126097682432,neutral,"['i', 'have', 'the', 'ipod', 'touchth', 'and', 'i', 'have', 'the', 'iosofc', 'i', 'cant', 'downgrad', 'becaus', 'is', 'not', 'be', 'signdedso', 'now', 'what', 'i', 'suppos', 'to', 'do']"
45,46,638857391686184961,positive,"['make', 'my', 'way', 'through', 'your', 'manag', 'io', 'and', 'macsnd', 'ed', 'book', 'great', 'read', 'realli', 'well', 'done', 'thank', 'for', 'do', 'thi', 'keep', 'it', 'up']"
46,47,638886628602155008,neutral,"['googl', 'android', 'wear', 'for', 'io', 'confirm', 'incompat', 'with', 'appl', 'healthkit', 'in', 'announc', 'android', 'wear', 'for', 'io', 'on', 'monday', 'googl', 'not']"
47,48,638927700648964096,neutral,"['hi', 'lee', 'my', 'iphon', 'is', 'current', 'oper', 'on', 'iosdo', 'i', 'have', 'to', 'put', 'iosst', 'or', 'can', 'upload', 'io', 'if', 'so', 'how', 'do', 'i', 'go', 'about', 'it']"
48,49,638945625548173312,positive,"['wed', 'nightpm', 'pacif', 'join', 'the', 'the', 'blast', 'live', 'right', 'here', 'on', 'fb', 'as', 'we', 'have', 'the', 'founder', 'of', 'the', 'io', 'app', 'kander', 'on']"
49,50,639001381655982080,positive,"['codigamesdo', 'you', 'like', 'arpgsdungeon', 'legend', 'arriv', 'to', 'io', 'on', 'septemberrd', 'gamedev', 'iphon']"
50,51,639016946541850624,neutral,"['jailbreak', 'io', 'devic', 'may', 'not', 'be', 'the', 'best', 'idea', 'secur', 'vulner', 'in', 'the', 'io', 'can', 'rare', 'be', 'secur']"
51,52,639071474754711552,positive,"['come', 'and', 'have', 'the', 'first', 'ever', 'go', 'on', 'lumino', 'citi', 'on', 'io', '+', 'real', 'model', 'friday', 'til', 'sunday']"
52,53,639085295351132161,neutral,"['rumor', 'ha', 'it', 'that', 'a', 'certain', 'app', 'is', 'avail', 'on', 'io', 'and', 'it', 'free', 'android', 'come', 'friday']"
53,54,639115503492038656,neutral,"['so', 'far', 'weve', 'announc', 'io', 'and', 'android', 'version', 'and', 'we', 'focu', 'on', 'them', 'thi', 'may', 'chang', 'in', 'the', 'futur', 'though']"
54,55,639117172204138496,neutral,"['may', 'favorit', 'one', 'ever', 'on', 'io', 'is', 'harbaugh', 'it', 'autocorrect', 'to', 'garbag']"
55,56,639217575298248704,neutral,"['do', 'u', 'know', 'if', 'the', 'motond', 'gen', 'will', 'work', 'with', 'io', 'devic']"
56,58,639456517008326656,positive,"['my', 'best', 'guess', 'is', 'we', 'should', 'see', 'mcpe', 'submit', 'to', 'io', 'and', 'googl', 'by', 'the', 'end', 'of', 'week', 'or', 'into', 'monday', 'if', 'the', 'dev', 'have', 'clean', 'up', 'the', 'bug']"
57,59,639485295218585600,positive,"['the', 'next', 'pixel', 'dungeon', 'updat', 'for', 'steam', 'and', 'io', 'with', 'a', 'lot', 'of', 'new', 'featur', 'and', 'improv', 'will', 'be', 'releas', 'on', 'septemberth']"
58,60,639542718117490688,neutral,"['thursday', 'night', 'on', 'kxlu', 'get', 'the', 'app', 'for', 'io', 'or', 'android', 'at', 'and', 'listen']"
59,62,639731200492482560,neutral,"['been', 'use', 'vodafon', 'smart', 'ultra', 'sinc', 'tuesday', 'cant', 'get', 'the', 'hang', 'of', 'it', 'and', 'find', 'a', 'few', 'fault', 'with', 'android', 'back', 'to', 'io', 'i', 'think']"
60,63,639806019665793024,neutral,"['meet', 'your', 'new', 'old', 'favorit', 'endless', 'runner', 'for', 'io', 'race', 'the', 'sun', 'macworld']"
61,64,639825263187128320,positive,"['are', 'you', 'readi', 'for', 'our', 'new', 'app', 'launch', 'tomorrow', 'build', 'binari', 'for', 'io', 'android', 'window', 'phone', 'and', 'tablet']"
62,65,639886266843164672,neutral,"['btw', 'i', 'amp', 'other', 'have', 'run', 'into', 'a', 'fair', 'number', 'of', 'catalogu', 'issu', 'with', 'the', 'appl', 'music', 'updat', 'in', 'io', 'thi', 'may', 'be', 'a', 'symptom']"
63,66,639899879955935232,positive,"['thi', 'hope', 'mean', 'that', 'mcpe', 'will', 'come', 'out', 'for', 'io', 'around', 'theth', 'of', 'septemb', 'along', 'with', 'all', 'other', 'version']"
64,67,640017715894206464,positive,"['what', 'you', 'should', 'look', 'for', 'from', 'appl', 'septemb', 'event', 'a', 'new', 'version', 'of', 'io', 'will', 'like', 'arriv', 'with', 'those', 'sh']"
65,68,640163020539203584,neutral,"['want', 'to', 'speed', 'up', 'your', 'share', 'autom', 'a', 'few', 'thing', 'from', 'your', 'io', 'devic', 'workflow', 'may', 'be', 'the', 'solut']"
66,69,640184988172963840,positive,"['thank', 'you', 'now', 'i', 'may', 'actual', 'have', 'a', 'chanc', 'on', 'io', 'now']"
67,70,640305299270799364,positive,"['articlesect', 'classpagepandroid', 'wear', 'may', 'be', 'veri', 'close', 'to', 'work', 'with', 'io']"
68,73,640350165879144448,positive,"['hey', 'tommaso', 'when', 'is', 'the', 'releas', 'date', 'for', 'on', 'io', 'if', 'the', 'answer', 'is', 'around', 'theth', 'that', 'where', 'my', 'school', 'start']"
69,75,640515279873830912,positive,"['daycrowdviz', 'releas', 'on', 'labor', 'day', 'septemberth', 'an', 'io', 'app', 'that', 'unit', 'blind', 'peopl', 'with', 'sight', 'assist']"
70,76,640604280706076672,positive,"['who', 'cant', 'wait', 'for', 'minecraft', 'on', 'io', 'but', 'now', 'u', 'dont', 'have', 'to', 'wait', 'caus', 'it', 'will', 'be', 'submit', 'atth', 'septemb', 'day', 'left']"
71,77,640640481714638848,neutral,"['it', 'quit', 'funni', 'to', 'see', 'io', 'develop', 'take', 'advantag', 'of', 'the', 'new', 'ugmonkth', 'anniversari', 'set']"
72,79,640862561236185090,positive,"['link', 'are', 'work', 'fine', 'on', 'my', 'io', 'devic', 'some', 'time', 'on', 'the', 'first', 'click', 'i', 'get', 'a', 'open', 'in', 'safari', 'cancel', 'it', 'amp', 'do', 'and', 'click', 'work']"
73,80,640985843851767808,positive,"['all', 'devic', 'build', 'tomorrow', 'or', 'offici', 'wpandroidio', 'hehe', 'p', 'yay', 'happi', 'day', 'for', 'you']"
74,81,641021806061621248,neutral,"['so', 'the', 'for', 'io', 'will', 'be', 'out', 'tomorrow', 'correct']"
75,82,641105483122798592,positive,"['tech', 'androidgtstar', 'war', 'upris', 'launch', 'septemb', 'on', 'io', 'and', 'android', 'gb', 'star', 'war', 'canon', 'is', 'about', 'tmobil']"
76,83,641288798790418432,positive,"['hi', 'i', 'wa', 'wonder', 'do', 'u', 'mean', 'youll', 'tri', 'to', 'releas', 'mcpe', 'to', 'io', 'tomorrow', 'ps', 'your', 'awesom']"
77,85,641433564836290560,positive,"['check', 'out', 'my', 'ride', 'in', 'csrrace', 'for', 'io', 'tri', 'it', 'for', 'free', 'now', 'car']"
78,86,641438788472991744,neutral,"['appl', 'releas', 'what', 'the', 'next', 'iphon', 'and', 'io', 'will', 'be', 'like', 'tomorrow']"
79,87,641441832291934208,positive,"['you', 'can', 'download', 'for', 'io', 'and', 'the', 'show', 'or', 'server', 'wont', 'work', 'until', 'tomorrow', 'be', 'happi', 'and', 'smile', 'more']"
80,88,641482982688075776,positive,"['those', 'of', 'you', 'with', 'io', 'devic', 'ask', 'siri', 'to', 'give', 'you', 'a', 'hint', 'about', 'tomorrow', 'appl', 'keynot']"
81,89,641485888673812480,positive,"['i', 'dont', 'oper', 'ani', 'io', 'devic', 'anymor', 'but', 'ill', 'still', 'tune', 'into', 'the', 'big', 'show', 'tomorrow', 'still', 'fun', 'to', 'watch', 'the', 'event', 'and', 'see', 'what', 'what']"
82,90,641488560437260288,neutral,"['not', 'sure', 'what', 'you', 'mean', 'continu', 'doesnt', 'requir', 'a', 'separaterd', 'devic', 'watch', 'for', 'two', 'other', 'io', 'devic', 'to', 'pair', 'and', 'share']"
83,91,641494998010200064,negative,"['ok', 'inbox', 'on', 'io', 'ha', 'a', 'pretti', 'anim', 'for', 'the', 'sun', 'but', 'thew', 'android', 'version', 'doesnt']"
84,92,641542106306101248,neutral,"['the', 'onli', 'time', 'i', 'would', 'say', 'i', 'realli', 'enjoy', 'io', 'wa', 'fifa', 'befor', 'i', 'got', 'my', 'consol', 'in', 'may', 'soon', 'as', 'i', 'got', 'that', 'i', 'stop', 'play', 'it']"
85,93,641632558996811776,positive,"['wan', 'na', 'watch', 'the', 'iphon', 'announc', 'live', 'with', 'ani', 'io', 'devic', 'safari', 'browser', 'watch', 'here', 'start', 'am', 'pst']"
86,94,641642814632124416,positive,"['attn', 'begin', 'octst', 'munze', 'will', 'be', 'the', 'onli', 'app', 'avail', 'for', 'io', 'and', 'android', 'also', 'is', 'in', 'review', 'and', 'includ', 'bug', 'fix']"
87,95,641653401877618688,positive,"['did', 'you', 'know', 'that', 'we', 'are', 'launch', 'tower', 'dweller', 'gold', 'on', 'android', 'tomorrow', 'in', 'tandem', 'with', 'io']"
88,96,641655091468963840,neutral,"['io', 'develop', 'thbangkok', 'market', 'rate', 'my', 'client', 'is', 'the', 'larg']"
89,97,641670426284945408,positive,"['like', 'legit', 'though', 'if', 'it', 'wa', 'run', 'os', 'x', 'it', 'would', 'be', 'a', 'sick', 'product', 'but', 'sinc', 'it', 'run', 'io', 'you', 'may', 'as', 'well', 'get', 'a', 'retina']"
90,98,641323950056841216,positive,"['join', 'the', 'movabl', 'challeng', 'get', 'your', 'movband', 'at', 'spirit', 'fest', 'tomorrow', 'or', 'thursday', 'and', 'move', 'one', 'step', 'closer', 'to', 'an', 'ipad']"
91,99,641328263822999555,positive,"['tomorrow', 'is', 'anoth', 'big', 'day', 'in', 'the', 'tech', 'world', 'im', 'guess', 'a', 'new', 'upgrad', 'iphon', 'ipad', 'and', 'possibl', 'new', 'os']"
92,100,641328586276925440,negative,"['lost', 'my', 'ipad', 'for', 'thend', 'time', 'today']"
93,102,641336034672922625,positive,"['wood', 'club', 'come', 'to', 'room', 'after', 'school', 'next', 'tuesday', 'to', 'make', 'ipad', 'stand']"
94,103,641341629689786369,neutral,"['a', 'survey', 'question', 'ahead', 'of', 'tomorrow', 'announc', 'what', 'the', 'right', 'price', 'for', 'aninch', 'ipad', 'w', 'stylu', 'and', 'keyboard', 'cover']"
95,104,641342629074984960,positive,"['realli', 'excit', 'about', 'appl', 'announc', 'ipad', 'pro', 'tomorrow', 'ah', 'the', 'rumor', 'ive', 'been', 'want', 'to', 'be', 'true', 'for', 'year', 'it']"
96,105,641345456740503553,positive,"['so', 'excit', 'to', 'see', 'what', 'appl', 'announc', 'my', 'wish', 'a', 'huge', 'ipad', 'that', 'i', 'can', 'draw', 'on', 'with', 'a', 'stylu', 'tech']"
97,106,641349256020815872,neutral,"['appl', 'might', 'want', 'to', 'give', 'dev', 'a', 'littl', 'info', 'on', 'ipad', 'pro', 'befor', 'drop', 'it', 'and', 'io', 'on', 'the', 'market', 'in', 'novemb', 'ht']"
98,107,641351041884164097,positive,"['sat', 'next', 'to', 'a', 'woman', 'on', 'the', 'plane', 'today', 'who', 'flip', 'through', 'photo', 'of', 'her', 'cat', 'on', 'her', 'ipad', 'the', 'whole', 'time', 'spiritanim']"
99,108,641351360965832705,positive,"['tomorrow', 'the', 'day', 'appl', 'reveal', 'a', 'new', 'iphon', 'amp', 'ipad', 'soanxiou', 'i', 'want', 'both', 'item', 'asap']"
100,109,641352166305693696,positive,"['predict', 'for', 'tomorrow', 'iphonec', 'ands+', 'a', 'ipad', 'and', 'a', 'new', 'appl', 'tv', 'with', 'touchscreen', 'control', 'applegeniu', 'stillnojobthough']"
101,110,641357966315139073,positive,"['rumor', 'is', 'that', 'appl', 'big', 'announc', 'tomorrow', 'is', 'a', 'giant', 'ipad', 'pleas', 'god', 'pleas', 'let', 'them', 'call', 'it', 'the', 'maxipad', 'appleev', 'appl']"
102,111,641366721287204864,positive,"['tomorrow', 'captur', 'covent', 'garden', 'with', 'iphon', 'and', 'ipad', 'septemberam', 'appl', 'store', 'covent', 'garden', 'free']"
103,112,641376359034568704,negative,"['im', 'at', 'my', 'follow', 'limit', 'rude', 'i', 'will', 'go', 'on', 'my', 'ipad', 'tomorrow', 'and', 'unfollow', 'all', 'the', 'littl', 'bitch', 'who', 'aint', 'follow', 'back', 'k', 'bye']"
104,113,641378641339940864,positive,"['wouldnt', 'be', 'surpris', 'if', 'the', 'new', 'iphon', 'unveil', 'tomorrow', 'is', 'actual', 'an', 'ipad', 'mini']"
105,114,641383082923196416,positive,"['thank', 'tea', 'sound', 'good', 'but', 'got', 'ta', 'updat', 'the', 'ipadst']"
106,116,641392431653453824,positive,"['i', 'hope', 'they', 'announc', 'someth', 'differ', 'and', 'excit', 'for', 'the', 'ipad', 'tomorrow', 'it', 'just', 'about', 'time', 'for', 'me', 'to', 'get', 'a', 'new', 'one', 'appleev']"
107,117,641393122216423424,positive,"['read', 'prelud', 'to', 'tomorrow', 'appl', 'event', 'cant', 'help', 'but', 'think', 'is', 'the', 'new', 'wsj', 'bloomberg', 'or', 'nyt', 're', 'ipad', 'news']"
108,118,641402358564548608,positive,"['trade', 'in', 'the', 'new', 'comput', 'to', 'get', 'an', 'ipad', 'uncl', 'tell', 'me', 'new', 'ipad', 'will', 'be', 'announc', 'tomorrow', 'so', 'price', 'should', 'drop']"
109,119,641403638267535360,positive,"['appl', 'keynot', 'is', 'happen', 'tomorrow', 'atamwith', 'the', 'expect', 'announc', 'of', 'the', 'iphon', 'new', 'appl', 'tv', 'and', 'ipad', 'who', 'is', 'wake', 'up', 'for', 'it']"
110,121,641406276879187969,positive,"['the', 'onli', 'thing', 'im', 'look', 'forward', 'to', 'tomorrow', 'is', 'the', 'new', 'iphon', 'and', 'ipad', 'pro']"
111,122,641408450463817728,neutral,"['what', 'she', 'gon', 'na', 'buy', 'with', 'th', 'of', 'an', 'ipad']"
112,123,641411462121058304,positive,"['i', 'hope', 'i', 'get', 'my', 'ipad', 'tomorrow', 'so', 'i', 'can', 'stream', 'the', 'appl', 'keynot', 'address', 'in', 'school']"
113,125,641414401426223104,positive,"['doe', 'it', 'realli', 'have', 'ipad', 'pro', 'amp', 'stylu', 'tomorrow', 'will', 'have', 'answer']"
114,126,641416176304680960,neutral,"['if', 'you', 'are', 'use', 'an', 'iphon', 'or', 'ipad', 'you', 'may', 'not', 'be', 'abl', 'to', 'view', 'it', 'their', 'youtub', 'app', 'tri', 'on', 'your', 'comput']"
115,127,641417400110354432,neutral,"['tomorrow', 'appl', 'better', 'introduc', 'an', 'ipad', 'larg', 'enough', 'for', 'me', 'to', 'stand', 'on', 'with', 'an', 'app', 'thatll', 'transport', 'me', 'wherev', 'i', 'want', 'to', 'go', 'if', 'not']"
116,128,641418673014620160,positive,"['but', 'with', 'a', 'new', 'ipad', 'come', 'out', 'i', 'may', 'be', 'abl', 'to', 'snag', 'an', 'older', 'ipad', 'at', 'a', 'decent', 'price']"
117,129,641419174363930624,positive,"['first', 'day', 'of', 'school', 'tomorrow', 'which', 'mean', 'it', 'also', 'the', 'first', 'day', 'of', 'the', 'season', 'for', 'rbi', 'basebal', 'on', 'my', 'ipad']"
118,130,641423309318582272,negative,"['are', 'yall', 'realli', 'mad', 'that', 'he', 'pay', 'to', 'fix', 'a', 'broken', 'ipad', 'dont', 'yall', 'have', 'bigger', 'problem', 'to', 'deal', 'with']"
119,131,641424370942939136,positive,"['and', 'appl', 'goe', 'gestur', 'control', 'game', 'with', 'appl', 'tv', 'will', 'the', 'phone', 'and', 'ipad', 'upgrad', 'impress']"
120,132,641424651495698432,positive,"['appl', 'to', 'unveil', 'iphon', 'ipad', 'today', 'for', 'the', 'first', 'time', 'they', 'are', 'releas', 'on', 'wednesday', 'all', 'their', 'earlier', 'releas', 'were', 'on', 'a', 'tuesday']"
121,133,641425847791042560,negative,"['when', 'you', 'have', 'test', 'tomorrow', 'and', 'a', 'lab', 'to', 'do', 'but', 'your', 'ipad', 'is', 'dead', 'so', 'you', 'cant', 'do', 'shit']"
122,134,641430507683606528,negative,"['highli', 'doubt', 'that', 'ipad', 'will', 'be', 'cover', 'dure', 'the', 'appleev', 'tomorrow']"
123,135,641432777615933440,positive,"['so', 'tomorrow', 'is', 'the', 'big', 'appl', 'event', 'what', 'do', 'you', 'think', 'well', 'see', 'ipad', 'pro', 'an', 'ipad', 'stylu', 'curiou', 'to', 'see', 'what', 'they', 'bring']"
124,137,641436035013038080,neutral,"['check', 'will', 'not', 'be', 'submit', 'tomorrow', 'but', 'ill', 'end', 'up', 'take', 'the', 'extra', 'time', 'for', 'a', 'watch', 'app', 'nc', 'widget', 'ipad', 'optim', 'etc']"
125,138,641436513390080000,positive,"['my', 'mom', 'take', 'my', 'ipad', 'away', 'tomorrow', 'but', 'it', 'worth', 'it', 'becaus', 'im', 'tweet', 'the', 'kweent', 'anthonychat']"
126,139,641436882128248832,positive,"['which', 'is', 'more', 'interest', 'unveil', 'tomorrow', 'aapl', 'ipad', 'tv', 'or', 'tm', 'new', 'priu', 'im', 'go', 'with', 'priu']"
127,140,641442231409242112,positive,"['to', 'prepar', 'for', 'the', 'appleev', 'tomorrow', 'i', 'am', 'reminisc', 'over', 'legaci', 'appl', 'hardwar', 'includ', 'ipodnd', 'gen', 'iphon', 'ipad', 'get', 'pump']"
128,141,641444286341365760,positive,"['sunday', 'vlog', 'is', 'process', 'monday', 'is', 'export', 'you', 'know', 'for', 'have', 'to', 'do', 'it', 'all', 'on', 'a', 'ipad', 'is', 'say', 'im', 'do', 'pretti', 'good']"
129,142,641445586445537281,positive,"['id', 'buy', 'the', 'next', 'ipad', 'if', 'they', 'had', 'fassbend', 'give', 'the', 'keynot', 'tomorrow']"
130,143,641447893677817857,positive,"['i', 'believ', 'the', 'new', 'twitter', 'updat', 'come', 'in', 'time', 'befor', 'tomorrow', 'event', 'might', 'be', 'see', 'deeper', 'integr', 'with', 'ipad', 'pro', 'splitscreen', 'io']"
131,144,641447913525276672,positive,"['tomorrow', 'appl', 'inc', 'will', 'introduc', 'the', 'a', 'new', 'appl', 'tv', 'and', 'the', 'ipad', 'pro']"
132,145,641451096427266048,negative,"['accident', 'left', 'ipad', 'sit', 'in', 'the', 'sun', 'too', 'long', 'had', 'to', 'stash', 'her', 'in', 'the', 'freezer', 'to', 'cool', 'down', 'whoop', 'straya']"
133,147,641460027002355712,neutral,"['hi', 'ive', 'tri', 'to', 'contact', 'quanta', 'bu', 'phone', 'with', 'no', 'success', 'sinc', 'last', 'thursdayi', 'left', 'an', 'ipad', 'in', 'a', 'plane', 'could', 'you', 'help', 'me']"
134,148,641479328216150016,negative,"['my', 'dad', 'just', 'dramat', 'got', 'upset', 'at', 'me', 'for', 'no', 'reason', 'but', 'i', 'wa', 'get', 'an', 'ipad', 'tomorrow', 'so', 'now', 'what']"
135,149,641480750265602050,positive,"['hahah', 'excit', 'for', 'your', 'live', 'blog', 'tomorrow', 'i', 'know', 'the', 'rumor', 'are', 'strong', 'but', 'i', 'remain', 'dubiou', 'about', 'the', 'ipad', 'pro', 'be', 'announc']"
