,Id,Category,Tweet
220,641519726817071104,neutral,Today my doctor diagnosed me with a repetitive strain injury known as iPhone thumb May my social media use be a cautionary tale to all
221,641521527461163008,positive,Today Septth Apple announces details on how iPhone will work with Adblockers onlineadvertisers in the future
222,641526144458559488,positive,Beyond excited for the Apple Event tomorrow Mostly for new Apple Watch bands as Ill be trying not to get the new iPhone
223,641529318703697920,positive,New IPhone its a relegious day 
224,641536674015477760,neutral,Todays iPhoneS event Start time where to watch the live blog and how to stream 
225,641537637887508480,neutral,hi may i ask what are the requirements needed for the iphones under plan
226,641545859285434368,negative,If this new iPhone sounds like itll suck after tomorrows announcement then the jokes on me for saving up to get it
227,641550287887470592,neutral,Trading Street iPhone Change May Be How Youll Pay Apples biggest update to the iPhone may be how most cons 
228,641550948389654528,positive,I love Apple despite the fact that Im constantly dissing the iPhone Really looking forward to tomorrows event
229,641556474221625345,positive,iPhones Everything you need to know Apples event of the year which is being held on September has ma 
231,641561004669829120,positive,Apple is expected to announce the iPhoneS atPM tomorrow  Translation At PM tomorrow the Internet will lose its shit
232,641561322929393664,neutral,With Apple expected to announce details of a new iPhone today the timing may be right to sell your old smartphone 
233,641565117146988544,neutral,Prediction I will have a status saying that Ill be buying the new iPhone by tomorrow morning Ive done that 
235,641565597185232897,neutral,like what else can they offer honestly I may just get another iPhone because Im used to the OS
236,641566462407274496,negative,I dropped my iPhone in the beer cooler on the beach yesterday so I gotta get a new one tomorrow
237,641567750842937344,positive,Christmas in September Apples keynote on the upcoming iPhone is today atam Pacific
238,641568990779670528,positive,All the latest Sheffield Wednesday news on iPhone and iPad SWFC
239,641572751099174912,positive,Analyst suggests this may be the last big iPhone launch  with via AppleEvent
240,641578941031911428,positive,Tech Tuesday Apple launches new iPhone with Force Touch newiphone
241,641581532709285889,positive,I cant wait I need a new phone And since Samsung has abandoned the UK market Ill be ordering an iPhone this Friday
242,641581548349865984,positive,If Apple is upgrading the camera on the iPhones models I seriously may upgradeamp my phone isnt evenyr old yet photographyproblems
243,641584856976203776,positive,In Wednesdays FirstFT  long reign the Queen iPhone unveiling and more Sign up at 
244,641586267306786816,positive,its gonna at least be a new iPhone event  Its that time of year ago The next iPhone comes out onor around Septth
245,641586648472489986,positive,Will I be getting a new iPhone this year No But my two older kids will So Im kind of curious about today 
246,641589045643055104,positive,So yeah back to the iEvent today If Apple doesnt do lowcost iPhoneC replacement model akaC then we may see peak iPhone within mo
247,641589992238776320,positive,unique mark patterns made by the oil of the fingertip on the glass of the iPhone screen when using different apps 
248,641595717358895105,positive,Swanage  An Apple IPhone has been handed in  Swanage Town Hall Office Please come in and speak to us if you think it may be yours
249,641595844009988097,positive,Business Insider RUMOUR Siri may always be ready to respond to your voice on the next iPhone AAPL Apple t 
250,641596405027610624,positive,I really hope Apple weighs a cup of nuts on the iPhoneS th Generation iPhone
251,641599013511393281,neutral,iThink they may introduce the iphoneS but my cuzzo said the AppleWatch Red and new macbook size
252,641599954277007360,positive,This thest year Ive not been to excited about the new iPhone announcement but Im stoked for the new Apple TV amp their streaming service
253,641600528544235521,positive,would you PLEASE let us know when the iPhones will be available for purchase Hoping before theth of September Thanks
254,641600624115777537,positive,The new IPhone is expected to be unveiled today atpm As well as a potential Apple TV Watch it here AppleEvent 
255,641602192579936257,positive,So iPhoneth generation has models Plus andS If I can wait it out Ill get the
256,641602240214601728,negative, seats for an Apple product announcement iPhone is just upgrade AppleSiri TV may be big I wonder whos playing TayTay Billy J
257,641605619024269312,negative,Cracked myst iPhone ever and Im so pissed  Anyone know where I can get it fixed ASAP besides Apple
258,641606659454832640,positive,Cant wait to see the new iPhone tomorrow And final can update my apple watch to OS
259,641610166010425344,neutral,I truthfully liked my galaxy better as a phone experience but the gameapp market is better on iPhone  
261,641614713055485953,neutral,My iphone wants to break well its about time Isnt apples event tomorrow
262,641615165260038145,neutral,no itll launch with the new iPhone  on next friday not even coming friday because preorders
263,641616278424125440,positive,I expect to see news about aGB iPhone when I wake up tomorrow
264,641617111589089281,neutral,Some folks wait for next Apple launch just so they can buy the new iPhone And some wait just to buy and hand two gen old cheaper model
265,641621345617465344,neutral,this year old on the bus tryina convince me hes got an iPhone Plus and Im sat here like 
266,641625811699679233,neutral,Come and get a free copy tomorrow Thursday at Wilcox and St George Sorry cant fit it in the Iphone
267,641625882117869568,positive,The iPhoneS the greatest thing to ever exist since the iPhone CROWD GOES WILD  
269,641628508532396032,positive,its your last chance to take advantage of Gazelles best price guarantee on iPhone tradeins 
272,641633097142960128,positive,Definitely watching the iPhone event today to see what Ill be upgrading to in February
273,641635084290781184,neutral,Tomorrow is the day when rumours about the new iPhone Day after is the day when rumours about the next IPhone will start Waiting for that
274,641636406054526978,positive,Color take on the head doodles from WonderWoman Wednesday From a while back  only have the iPhone photo though 
275,641639811141472256,negative,I do love my iPhoneplus but I am definitely not a fan of the fact that I just accidentally sat on it and it is now another shape
276,641641254476840961,positive,Few more hours to iPhones launch and im still using theth generation _
277,641641549521137664,negative,Myth Grade Art Teacher had her iPhone stolen from the classroom someone took the SIM card out so she couldnt track it
278,641642352604512256,positive,Get the popcorn or coffee in my case ready folks hour till the new iPhone event Tuning in from Asheville NC 
280,641643603400364032,positive,Im eligible for an upgrade next Monday Hopefully the new iPhone drops next Friday so I can go straight to Verizon after work
281,641644400880148480,positive,Minutes aways for the unvieling of iphonesplus or is it going to be Iphone 
282,641645846921003008,positive,apple A look at the evolution of Apples iPhone Apple will unveil the new iPhone on Wednesday The next iPho 
283,641650692965466112,neutral,Youre all talking about an iPhone event and Im just sat here chatting about Tinder 
284,641651794066731008,negative,I turn soon amp a friend went missing on a Tuesday nite the other who has his iPhone doesnt know how to use it amp I wasnt even there
285,641651953932587009,positive, Ah bizarrely I see it on my iPhone but not on laptop with Safari which only hasst tabs  Weird
286,641652444536143873,positive,If youre an iPhone user like myself new phone and more to be revealed in the next minutes Watch it live here 
287,641655398836097024,positive,Im so excited to see the new iPhone release even though it may be following a trend xD
288,641655426979897344,positive,Cool filter called the blinding sun amp iPhonec Lol  Gediminas Tower 
289,641655858883985412,positive,Well Ill be watching on ath gen of iphone even it wont get ios update  AppleEvent
290,639846167015124993,negative,Why would you waste a good iPod like thisidiotsIDIOTS 
291,639865249013886976,positive,I crushed akm run with a pace of with Nike + iPod  makeitcount  nikeplus september  
292,639866096267460609,positive,can next Friday please get here any faster I need the rest of Illinois on my iPod
294,639886455469404161,positive,I will have it by tomorrow Im on my iPod now haha When you free
295,639907191596679169,positive, come join mark on his charity live stream to help fight Depression and Bipolar   you may even an ipod eggplant
296,639908399816310784,positive,Memorised the journey to Lucys tomorrow in case my iPod and iPhone run out of charge on route haha
297,639909065582231552,positive,Lmao just turned on my ipod forst time inevs amp this is the last photo 
298,639913980597772289,positive,I have the Moonlight Sonatard movement in my iPod and I listen to it when I need to relax
300,639951186783784960,positive,I have faith that tonight I may win an iPod which would mean the world to me and I would treasure it qith my life
301,639955262221123584,negative,still cant get my IPODrd gen shuffle to change songs cos of the USB NOT RECOGNIZED ERROR shit Does this mean I need new USB CABLE
302,639957430575734784,positive,Hey my birthday is this coming Thursday and I dont necessarily want an Ipod but a happy birthday would suffice haha EGGPLANT
303,639969145723994112,positive,EGGPLANT LETS GO new winner of the iPod and may we reach out goal Hazzah and Mark are you going to pax south
304,639972676505837568,positive,The stream is so long I wanna go to sleep but I want a IPodnd hardest decision in my life
305,639976786458222592,positive,EGGPLANT i want a ipod 
306,639990335788220417,positive,Apple has a recall on allst generation iPod Nanos And will give you ath generation iPod Nano if you return thest generation one
307,640003175945240576,negative,h im going to make a twitter to use on my ipod at schoolwork tomorrow bc this fucks up my notifs
308,640004414049267712,positive,I should be getting into bed I am however instead looking through my iPod for songs I might want to pole to  I may be addicted
309,640018683213930496,neutral,No iPod untilth grade began Brother is still in elementary and succeeded in convincing dad he needs one
310,640033823317594113,negative,I have to deal with this ipod so rest in pieces my emo snowflake fuckers Heres to our tomorrow Thank you for living to see today
311,640062498176139264,neutral,I may have to pull out my Oldskool iPod and just blast some Tupac from my TV this morning RIP
312,640114126077845504,positive,Let you know what kind of day its going to best song up on my IPod is Do It Now By Mos DefYB  Leggo
315,640179309307518976,neutral,Saw an iPod nanoth GenGB one at the cash converters place
316,640187982775873537,positive,Still head over heels in love with my th generation iPod Curated to the hilt ipod Apple oldtech personalmediadevices
317,640197780980436992,neutral,Rocks Rider  HD Edition  PLEASE NOTE Compatible with iPhones iPad iPad mini iPod touch th 
318,640206665577558016,neutral,my iPod is actuallyth generation  Google it out
322,640277861853626369,positive,I may have a yo ipod classic ive never encountered a problem w it unlike my sisters whose newer models seem to crash quite easily
323,640324888306262016,neutral,I hope tho hive will be fast to upload the video and audio of the performance tomorrow so I can have it on my ipod
324,640350278345097216,neutral,How did i make it on the bus on Thursday without my ipod
